Miasto;cena;liczba mieszkancow
Koscierzyna;3433;23765
Bialogard;2302;23858
Leczna;3590;23883
Wielun;2950;24033
Bartoszyce;2600;24602
Mragowo;3104;24732
Kluczbork;3000;24962
Szczytno;2720;25308
Wagrowiec;2750;25313
Walcz;2705;26231
Zagan;2103;26426
Brodnica;2920;27731
Gorlice;3100;28243
Nowy Dwor Mazowiecki;4000;28395
Gizycko;3000;29381
Srem;2753;30343
Augustow;3900;30728
Mlawa;2800;30968
Zywiec;3200;32083
Olawa;3600;32572
Ilawa;3250;33339
Nowy Targ;4302;33510
Police;3710;33625
Ostroda;3500;33872
Dzierzoniow;2504;33946
Lebork;2850;34525
Krasnik;2800;35642
Cieszyn;3000;36119
Jaslo;2724;36260
Olkusz;3000;36398
Sochaczew;3700;37374
Olesnica;3857;37450
Jaroslaw;3100;38360
Zary;2400;38527
Malbork;2910;38650
Szczecinek;2610;38810
Kwidzyn;2600;38849
Chrzanow;2905;38989
Boleslawiec;2550;39373
Minsk Mazowiecki;4300;40211
Oswiecim;3000;40324
Chojnice;3120;40447
Zyrardow;3606;40652
Swinoujscie;5256;41516
Nysa;2700;43220
Sieradz;2650;44018
Zdunska Wola;2750;44108
Debica;3001;46568
Krosno;3000;46775
Kolobrzeg;5220;46897
Skarzysko-Kamienna;2800;47212
Rumia;4666;47812
Skierniewice;3557;47974
Tarnobrzeg;2800;48000
Wodzislaw Slaski;2250;48677
Starogard Gdanski;3112;48690
Pulawy;3720;48864
Starachowice;2625;50679
Zawiercie;2190;51688
Swietochlowice;2580;52372
Ostroleka;3209;53572
Piekary Slaskie;2600;54215
Legionowo;5350;54272
Raciborz;2305;55492
Zgierz;3250;57803
Bedzin;2810;58425
Kedzierzyn Kozle;2550;58749
Belchatow;2650;59025
Zory;2704;59960
Elk;2592;60462
Tczew;3502;60641
Mielec;3205;60827
Przemysl;2850;62720
Lomza;3272;62779
Stalowa Wola;2753;63434
Tomaszow Mazowiecki;2900;64289
Leszno;3203;64722
Pabianice;3007;65828
Glogow;3200;66659
Suwalki;3000;69316
Siemianowice Slaskie;2968;69539
Gniezno;3200;69810
Stargard Szczecinski;3304;69966
Ostrowiec Swietokrzyski;2250;71728
Pila;3205;74140
Inowroclaw;3100;74258
Piotrkow Trybunalski;3050;74500
Myslowice;3000;75129
Konin;3250;76932
Siedlce;0;76942
Jelenia Gora;3050;81010
Nowy Sacz;3400;83903
Jastrzebie Zdroj;2606;91235
Slupsk;3332;92869
Jaworzno;3100;94305
Grudziadz;2450;96319
Legnica;2952;100886
Kalisz;2900;102575
Koszalin;3800;108576
Chorzow;2950;111168
Wloclawek;2808;113041
Opole;4138;119574
Elblag;3412;121994
Plock;3700;122224
Dabrowa Gornicza;2950;123337
Gorzow Wielkopolski;2912;124116
Tychy;3702;128444
Zielona Gora;3440;138512
Rybnik;0;140052
Bytom;2252;172306
Bielsko-Biala;3640;173103
Olsztyn;4428;173444
Zabrze;2803;177188
Gliwice;3380;183392
Rzeszow;4789;187327
Torun;4320;202689
Sosnowiec;2900;207381
Radom;2955;216159
Czestochowa;0;228179
Gdynia;5950;247478
Bialystok;4314;296310
Katowice;3896;299910
Lublin;4837;340727
Bydgoszcz;3860;355645
Szczecin;4195;405657
Poznan;5434;542348
Wroclaw;5763;637075
Lodz;3818;698688
Krakow;6831;762448
Warszawa;8325;1748916